Original,RMSE,Modelo
n_0*exp(-m*g*x/(kb*T)),0.220983600369945,(0.235912925*X3*X4**2 - 0.371*X3*(-0.143641*X1**2 + 2.618*X2 + 1.285*X5) + 4.19044188537761*X6)/(X3*(-0.143641*X1**2 + 2.618*X2 + 1.285*X5))
n_0*exp(-m*g*x/(kb*T)),0.2219749959064537,(-0.584*X3*(0.196*X2 + 0.126*X5) + (0.184139630390144*X1 + 0.071064*X3*X4)*exp(sin(0.299*X6)))/(X3*(0.196*X2 + 0.126*X5))
n_0*exp(-m*g*x/(kb*T)),0.233021644423246,0.955765266918811*X1*X4*exp(-0.277*X5)*sin(0.301*X6)/(X2*X3) - 0.039
n_0*exp(-m*g*x/(kb*T)),0.2432489061721461,13.537368*X6/((4.069*X2 + 2.822*X5)*(1.42057488653555*X3/X4 + 0.770569620253165*X6/X1)) - 0.497
h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1)),0.0509355873513081,0.102244948955479*X1**2*X2*X4/X5**2 - 0.115140708283197*X1**2*X2*exp(-0.371*X2)/X5**2 + 0.024
h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1)),0.0587165375442129,(0.0479790503886873*X1**2*X4*(2.08*X2 - 0.194*X3) + 0.017*X5**2)/X5**2
h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1)),0.0590222942720742,(0.0610325772795828*X1**2*X4*(1.621*X2 - 0.15*X3) + 0.017*X5**2)/X5**2
h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1)),0.0592483351469621,(0.330633523924097*X1**2*X4*(0.303*X2 - 0.028*X3) + 0.017*X5**2)/X5**2
h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1)),0.0595269624537515,(0.0285665452623467*X1**2*X4*(3.632*X2 - 0.333*X3) + 0.017*X5**2)/X5**2
mu_drift*q*Volt/d,3.473130644090316e-07,1.0012106829142*X1*X2*X3/X4
mu_drift*q*Volt/d,3.473130644090316e-07,1.00092526453015*X1*X2*X3/X4
mu_drift*q*Volt/d,3.473130644090316e-07,1.00078190406619*X1*X2*X3/X4
mu_drift*q*Volt/d,3.473130644090316e-07,1.00090782*X1*X2*X3/X4
mu_drift*q*Volt/d,3.473130644090316e-07,0.9804506922*X1*X2*X3/X4
mob*kb*T,9.382845368728477e-07,0.995198899968*X1*X2*X3
mob*kb*T,9.382845368728477e-07,1.296438801944*X1*X2*X3
mob*kb*T,9.382845368728477e-07,1.000262075648*X1*X2*X3
mob*kb*T,9.382845368728477e-07,0.9992107222*X1*X2*X3
mob*kb*T,9.382845368728477e-07,0.999678552768*X1*X2*X3
1/(gamma-1)*kb*v/A,1.0889983535849837e-07,2.72382676718698*X2*X4/(X3*(2.724*X1 - 2.72478632478633))
1/(gamma-1)*kb*v/A,4.828561115671254e-05,0.404912976*X2*X4/(X3*(0.40469*X1 - 0.405))
1/(gamma-1)*kb*v/A,0.0050213758017509,1.06394288036794*X2*X4*(1.043*X1**2 + 3.29090504723625)/(X1**3*X3)
1/(gamma-1)*kb*v/A,0.0050482679081505,0.5506153562346*X2*X4*(2.019*X1**2 + 6.36100309784445)/(X1**3*X3)
1/(gamma-1)*kb*v/A,0.0115114387041107,0.112705392057362*X2*X4/X3 - 0.002 + 3.4910318927222*X2*X4/(X1**2*X3)
"n*kb*T*log(V2/V1,e)",0.5740335808666975,(-2.14601261355*X1*X2*X3*(1.166*X4 - 1.16*X5) + 0.089166*X4 + 0.089782*X5)/(1.158*X4 + 1.166*X5)
"n*kb*T*log(V2/V1,e)",0.6046573204161155,(-6.83529969399077*X1*X2*X3*(X4 - X5) + 0.018852*X4 + 0.019452*X5)/(3.142*X4 + 3.242*X5)
"n*kb*T*log(V2/V1,e)",3.289842652277031,-3.912384*X2*(0.355*X4 - 0.363*X5)*(0.833*X1 + 0.705*X3 - 0.375*X4 - 0.375*X5) - 0.384
"n*kb*T*log(V2/V1,e)",4.035932468003328,-0.865461324*X1*X2*(2.071*X3 - 0.156325*X4*X5)*(0.254*X4 - 0.251*X5) - 0.113
"n*kb*T*log(V2/V1,e)",4.290685847105957,(-0.6917053322*X1*X2*(X4 - X5)*(0.483*X3*exp(0.722*X4) + 1) - 0.997*exp(0.722*X4))*exp(-0.722*X4)
sqrt(gamma*pr/rho),0.0270965434302849,(0.551959408*X1*X2 + 0.618211000000001*X3 - 65.041*sin(exp(-1.983*X1 - 1.82*X2)))/(0.088088*X1*X2 + 1.064*X3)
sqrt(gamma*pr/rho),0.0275269288865758,(0.440344674*X1*X2 + 0.433913307692309*X3)/(0.073062*X1*X2 + 0.799*X3)
sqrt(gamma*pr/rho),0.0282021609654876,(1.68758152*X1*X2 + 0.054036*X1 + 1.641752*X3)/(0.2821*X1*X2 + 3.086*X3)
sqrt(gamma*pr/rho),0.0282082531281578,(0.836327686*X1*X2 + 0.025694*X1 + 0.812896*X3)/(0.140963*X1*X2 + 1.528*X3)
sqrt(gamma*pr/rho),0.0286236478508659,(0.29860976*X1*X2 + 0.003091452*X1*X3 + 0.006258*X1 + 0.289301*X3)/(0.04976*X1*X2 + 0.551*X3)
m*c**2/sqrt(1-v**2/c**2),0.1195137140316259,0.8287979781*X1*X2**2 - 0.639789381*X1*X3*(0.177*X2 - 1.579*X3) - 0.104
m*c**2/sqrt(1-v**2/c**2),0.1705421369017235,0.642086812125*X1*X2**2 + 1.00184271825*X1*(0.0116211504938989*X2 - X3)**2 - 0.063
m*c**2/sqrt(1-v**2/c**2),0.1807682829099431,(24.94947*X1*(0.054*X2 + 0.278*X3)*(0.141*X3*exp(1.65638766519824*X3/X2) + 1) + 0.022*exp(1.65638766519824*X3/X2))*exp(-1.65638766519824*X3/X2)
m*c**2/sqrt(1-v**2/c**2),0.181544387524678,(4.306*(0.879844*X2**2 + 1.633284*X3**2)*(0.142*X1*exp(2.14565217391304*X3/X2) + 1) - 0.134*exp(2.14565217391304*X3/X2))*exp(-2.14565217391304*X3/X2)
m*c**2/sqrt(1-v**2/c**2),0.1867567740615863,1.516857234*X1*X2*(0.613*X2 - 0.113*X3) + 1.016763888924*X1*X3**2 - 0.054
m_0/sqrt(1-v**2/c**2),0.0048631241737915,-0.0453728929503916*X1*X2/(X3*cos(1.11488250652742*X2/X3)) + 1.00323*X1/cos(1.11488250652742*X2/X3) - 0.001
m_0/sqrt(1-v**2/c**2),0.0054553257511332,(-0.10499316*X1*X3 + (0.851*X1 + 0.001)*(0.89*X2 - 0.796*X3))/(0.89*X2 - 0.796*X3)
m_0/sqrt(1-v**2/c**2),0.0068557362808558,(-0.599729715*X1*X2**2 + (1.0005*X1 - 0.001)*(1.885*X2 - 1.229881*X3**2))/(1.885*X2 - 1.229881*X3**2)
m_0/sqrt(1-v**2/c**2),0.0122788786645685,1.14187719400497*X1*X2**3/X3**3 + 1.011624*X1 + 0.001
m_0/sqrt(1-v**2/c**2),0.0136381119593837,0.99036*X1 + 0.236734693877551*X1*exp(1.245*X2)/X3**2 + 0.00042588*X3**2 - 0.023
x1*(cos(omega*t)+alpha*cos(omega*t)**2),0.8408333852613049,60.973 - 82.006*sin(sin(cos(cos(1.00464*X2*X3)/2 - cos(2*exp(-0.035*X3))/2)))
x1*(cos(omega*t)+alpha*cos(omega*t)**2),0.9241855985734606,6.904 - 6.53*cos((0.121*X1 + cos(X3*(0.960258*X2 + 0.178)))**2)
x1*(cos(omega*t)+alpha*cos(omega*t)**2),0.9368588563094252,1.264421424*X2*X3*(0.65*X4 - cos(1.51704*X2*X3))*sin(0.169*X1) - 0.796
x1*(cos(omega*t)+alpha*cos(omega*t)**2),0.97261376610613,2.224*cos(1.021582*X2*X3) + 2.224*cos(2.005542*X2*X3) + 2.12
x1*(cos(omega*t)+alpha*cos(omega*t)**2),0.9730540243245526,4.448*cos(0.490539*X2*X3)*cos(1.513071*X2*X3) + 2.12
kappa*(T2-T1)*A/d,1.23553401938288e-07,1.00339611690566*X1*X4*(-X2 + X3)/X5
kappa*(T2-T1)*A/d,1.23553401938288e-07,1.00076908649465*X1*X4*(-X2 + X3)/X5
kappa*(T2-T1)*A/d,1.23553401938288e-07,0.999732562531645*X1*X4*(-X2 + X3)/X5
kappa*(T2-T1)*A/d,1.23553401938288e-07,0.999679701112076*X1*X4*(-X2 + X3)/X5
kappa*(T2-T1)*A/d,1.23553401938288e-07,0.985645385411676*X1*X4*(-X2 + X3)/X5
Pwr/(4*pi*r**2),1.562961437684401e-09,0
Pwr/(4*pi*r**2),1.562961437684401e-09,0.0792511247923699*X1/X2**2
Pwr/(4*pi*r**2),1.562961437684401e-09,0.0703703703703704*X1/X2**2
Pwr/(4*pi*r**2),1.562961437684401e-09,0.0835806997206439*X1/X2**2
Pwr/(4*pi*r**2),1.562961437684401e-09,0.0800821422115537*X1/X2**2
q/(4*pi*epsilon*r),1.0373829821631592e-09,0.0809018567639257*X1/(X2*X3)
q/(4*pi*epsilon*r),1.0373829821631592e-09,0.0790431833034242*X1/(X2*X3)
q/(4*pi*epsilon*r),1.0373829821631592e-09,0.082050067124694*X1/(X2*X3)
q/(4*pi*epsilon*r),1.0373829821631592e-09,0.0776327632763276*X1/(X2*X3) + 0.00062472885032538
q/(4*pi*epsilon*r),1.0373829821631592e-09,0.0805750569293132*X1/(X2*X3)
1/(4*pi*epsilon)*p_d*cos(theta)/r**2,5.130043852365581e-10,0.0823177108259804*X2*cos(1.0*X3)/(X1*X4**2)
1/(4*pi*epsilon)*p_d*cos(theta)/r**2,5.130043852365581e-10,0
1/(4*pi*epsilon)*p_d*cos(theta)/r**2,5.130043852365581e-10,0.0797323697174323*X2*cos(1.0*X3)/(X1*X4**2)
1/(4*pi*epsilon)*p_d*cos(theta)/r**2,5.130043852365581e-10,0
1/(4*pi*epsilon)*p_d*cos(theta)/r**2,5.130043852365581e-10,0.083424064535235*X2*cos(1.0*X3)/(X1*X4**2)
p_d/(4*pi*epsilon)*3*z/r**5*sqrt(x**2+y**2),0.0426426596333359,27.505333944*X2*X6*exp(-3.94*X3)/(0.916*X1 - 0.142*X2 + exp(-1.203*X5)) + 0.01
p_d/(4*pi*epsilon)*3*z/r**5*sqrt(x**2+y**2),0.0432015409514401,2.629*exp(1.96209368191721*(X2 + 0.906217070600632*X6)**2*exp(-3.582*X3)/X1) - 2.622
p_d/(4*pi*epsilon)*3*z/r**5*sqrt(x**2+y**2),0.0432390749768333,0.004 + 17.26155078538*X2*X6*exp(-3.022*X3)/(X1*X3) - 17.631818984045*X6*exp(-3.022*X3 - 0.519*X5)/(X1*X3)
p_d/(4*pi*epsilon)*3*z/r**5*sqrt(x**2+y**2),0.0445440719512893,0.007 + 18.2600073564546*X2*X6*exp(-3.16*X3)/(X1*X3) - 342.964170428894*X6*exp(-3.16*X3 - 3.335*X5)/X1
p_d/(4*pi*epsilon)*3*z/r**5*sqrt(x**2+y**2),0.0463424296279992,0.011 + 14.2179071379071*X6*exp(-0.142*X1 + 0.581*X2 - 3.272*X3)/(X1*X3)
p_d/(4*pi*epsilon)*3*cos(theta)*sin(theta)/r**3,1.8257424230910185e-05,0
p_d/(4*pi*epsilon)*3*cos(theta)*sin(theta)/r**3,1.8257424230910185e-05,0.119936597915378*X2*sin(2.0*X3)/(X1*X4**3)
p_d/(4*pi*epsilon)*3*cos(theta)*sin(theta)/r**3,1.8257424230910185e-05,0.11900386177774*X2*sin(2.0*X3)/(X1*X4**3)
p_d/(4*pi*epsilon)*3*cos(theta)*sin(theta)/r**3,1.8257424230910185e-05,0.000208346840023811*X2*sin(2.0*X3)/(X1*X4*sin(0.001296*X4**2))
p_d/(4*pi*epsilon)*3*cos(theta)*sin(theta)/r**3,1.8257424230910185e-05,0.00215615097690269*X2*sin(2.0*X3)/(X1*X4**2*sin(0.015*X4))
3/5*q**2/(4*pi*epsilon*d),2.5058513732212035e-09,0.0478888734185757*X1**2/(X2*X3)
3/5*q**2/(4*pi*epsilon*d),2.5058513732212035e-09,0.0480514120682417*X1**2/(X2*X3)
3/5*q**2/(4*pi*epsilon*d),2.5058513732212035e-09,0.0478783132209169*X1**2/(X2*X3)
3/5*q**2/(4*pi*epsilon*d),2.5058513732212035e-09,0.0445208363760284*X1**2/(X2*X3)
3/5*q**2/(4*pi*epsilon*d),2.5058513732212035e-09,0.0477953631522465*X1**2/(X2*X3)
epsilon*Ef**2/2,4.437028246709347e-07,0.499910152*X1*X2**2
epsilon*Ef**2/2,4.437028246709347e-07,0.4993797564*X1*X2**2
epsilon*Ef**2/2,4.437028246709347e-07,0.50012110764*X1*X2**2
epsilon*Ef**2/2,1.834376776767325e-05,0.49880560275*X1*X2**2
epsilon*Ef**2/2,1.834376776767325e-05,0.499836264762*X1*X2**2
sigma_den/epsilon*1/(1+chi),1.1347687289848591e-08,0.714868*X1/(X2*(0.716364*X3 + 0.716))
sigma_den/epsilon*1/(1+chi),1.1347687289848591e-08,1.37866*X1/(X2*(1.379151*X3 + 1.379))
sigma_den/epsilon*1/(1+chi),1.1347687289848591e-08,2.184305*X1/(X2*(2.188245*X3 + 2.188))
sigma_den/epsilon*1/(1+chi),1.8257421950754212e-05,0.826007*X1/(X2*(0.827398*X3 + 0.827))
sigma_den/epsilon*1/(1+chi),1.8257421950754212e-05,2.21234433374844*X1/(X2*(2.212*X3 + 2.21383647798742))
x1*y1+x2*y2+x3*y3,0.0030120008267593,1.000189872*X1*X4 + 0.998500464*X2*X5 + 0.998352976*X3*X6
x1*y1+x2*y2+x3*y3,1.1919711109181306,1.03560552*X3*X6 + 1.01*(0.695*X1 + 0.693*X2)*(0.689*X4 + 0.745*X5) - 0.249
x1*y1+x2*y2+x3*y3,1.3569874595875029,1.024686*X1*X4 + 3.179475*X2 + 1.015633125*X3*X6 + 3.109275*X5 - 10.082
x1*y1+x2*y2+x3*y3,1.594017268366504,1.01756613*X2*X5 + 0.572523*(X1 + X3)*(0.903*X4 + 0.836*X6) - 0.061
x1*y1+x2*y2+x3*y3,1.6083618439089211,0.995804*X1*X4 + 0.98922976*X2*X5 + 2.951157*X3 + 2.866562*X6 - 8.239
q*Ef/(m*(omega_0**2-omega**2)),6.7047969091983155e-09,0.993334348561248*X1*X2/(X3*(X4 - X5)*(X4 + X5))
q*Ef/(m*(omega_0**2-omega**2)),0.0004732847762983,0.010986899543379*X1*X2/(X3*(0.103*X4 - 0.101*X5)*(0.113*X4 + 0.101*X5))
q*Ef/(m*(omega_0**2-omega**2)),0.0016106908433965,0.470836318734793*X1*X2/(X3*(0.3844*X4**2 + 0.61*X4 - 1.453*X5)) - 0.001
q*Ef/(m*(omega_0**2-omega**2)),0.0043034488219655,2.15812*X1*X2/(X3*(0.042*X3 + 1.584*X4)*(1.634*X4 - 1.267*X5)) + 0.001
q*Ef/(m*(omega_0**2-omega**2)),0.0043055757921098,0.835857640449438*X1*X2/(X3*(0.028*X3 + 1.037*X4)*(0.962*X4 - 0.745*X5)) + 0.001
n_0*(1+p_d*Ef*cos(theta)/(kb*T)),0.5724663985055579,1.83 + 1.25192665507974*X5*X6*exp(0.236*X1)*cos(0.97*X4)/(X2*X3)
n_0*(1+p_d*Ef*cos(theta)/(kb*T)),0.5786729303867685,1.0642580980658*X1*X5*X6*sin(cos(0.94*X4))/(X2*X3) + 1.688
n_0*(1+p_d*Ef*cos(theta)/(kb*T)),0.5829963241833291,(0.013171175*X1**2*X2 - 0.21876*X2*X3 - 0.197607127143702*X5*X6*cos(0.976*X4))/(X2*(0.007225*X1**2 - 0.12*X3))
n_0*(1+p_d*Ef*cos(theta)/(kb*T)),0.5833822449091904,(0.126087192*X1**2*X2 - 1.99584*X2*X3 - 1.84236425974026*X5*X6*cos(0.964*X4))/(X2*(0.070756*X1**2 - 1.12*X3))
n_0*(1+p_d*Ef*cos(theta)/(kb*T)),0.6196326413943699,1.782 + 2.3969350679254*X5*X6*sin(0.541*X1)*cos(0.954*X4)/(X2*X3)
n_rho*p_d**2*Ef/(3*kb*T),1.4477985557802704e-07,0.333884264175824*X1*X2**2*X3/(X4*X5)
n_rho*p_d**2*Ef/(3*kb*T),1.4477985557802704e-07,0.333248024224771*X1*X2**2*X3/(X4*X5)
n_rho*p_d**2*Ef/(3*kb*T),1.4477985557802704e-07,0.332880841094373*X1*X2**2*X3/(X4*X5)
n_rho*p_d**2*Ef/(3*kb*T),1.4477985557802704e-07,0.332080632028742*X1*X2**2*X3/(X4*X5)
n_rho*p_d**2*Ef/(3*kb*T),1.4477985557802704e-07,0.333046357515205*X1*X2**2*X3/(X4*X5)
n*alpha/(1-(n*alpha/3))*epsilon*Ef,0.0031080642715703,0.970078319501088*X1*X2*X3*X4*exp(0.422928*X1*X2) + 0.004
n*alpha/(1-(n*alpha/3))*epsilon*Ef,0.0031164141880016,0.966733654877312*X1*X2*X3*X4*exp(0.422994*X1*X2) + 0.004
n*alpha/(1-(n*alpha/3))*epsilon*Ef,0.0031173233747827,0.977137327831392*X1*X2*X3*X4*exp(0.423108*X1*X2) + 0.004
n*alpha/(1-(n*alpha/3))*epsilon*Ef,0.0060820174135136,1.020052740336*X1*X2*X3*X4*(0.5104008*X1*X2 + 0.91) + 0.008
n*alpha/(1-(n*alpha/3))*epsilon*Ef,0.0061131860450969,1.022414761179*X1*X2*X3*X4*(0.515688888*X1*X2 + 0.917) + 0.008
1+n*alpha/(1-(n*alpha/3)),4.0819302610688674e-05,0.428356812*X1*X2 + 0.503*exp(1.13844*X1*X2) + 0.497
1+n*alpha/(1-(n*alpha/3)),6.582950011296322e-05,0.455700465*X1*X2 + 0.465*exp(1.176*X1*X2) + 0.535
1+n*alpha/(1-(n*alpha/3)),7.74409673317429e-05,0.396738848*X1*X2 + 0.548*exp(1.099674*X1*X2) + 0.452
1+n*alpha/(1-(n*alpha/3)),0.0001516542795087,0.503685273*X1*X2 + 0.401*exp(1.247885*X1*X2) + 0.598
1+n*alpha/(1-(n*alpha/3)),0.0002516553038592,1.024*exp(exp(0.35616*X1*X2)) - 1.784
1/(4*pi*epsilon*c**2)*2*I/r,5.638986868251575e-10,0.157920324823355*X3/(X1*X2**2*X4)
1/(4*pi*epsilon*c**2)*2*I/r,5.638986868251575e-10,0.159210843524306*X3/(X1*X2**2*X4)
1/(4*pi*epsilon*c**2)*2*I/r,5.638986868251575e-10,0.160036237086229*X3/(X1*X2**2*X4)
1/(4*pi*epsilon*c**2)*2*I/r,5.638986868251575e-10,0.158916371901212*X3/(X1*X2**2*X4)
1/(4*pi*epsilon*c**2)*2*I/r,5.638986868251575e-10,0.159112442365096*X3/(X1*X2**2*X4)
rho_c_0/sqrt(1-v**2/c**2),0.0035557288289097,(-0.10061552*X1*X3 + (0.881*X2 - 0.774*X3)*(0.85272*X1 + 0.001632*X3 - 0.012))/(0.881*X2 - 0.774*X3)
rho_c_0/sqrt(1-v**2/c**2),0.0038321558415832,X1*(0.63472164*X2 - 0.64231654*X3)/(0.742*X2 - 0.653*X3)
rho_c_0/sqrt(1-v**2/c**2),0.0058599181342237,X1*(1.038264696*X2 - 1.137810186*X3)/(1.246*X2 - 1.161*X3)
rho_c_0/sqrt(1-v**2/c**2),0.010514377821416,0.615102560252018*X1*X2**2/X3**2 + 0.994504*X1 + 0.001
rho_c_0/sqrt(1-v**2/c**2),0.010522025279719,0.61525524181206*X1*X2**2/X3**2 + 0.995648*X1 + 0.001
rho_c_0*v/sqrt(1-v**2/c**2),0.0176774263441376,0.655364729741965*X1*X2**3/X3**2 + 0.9892368*X1*X2 + 0.009
rho_c_0*v/sqrt(1-v**2/c**2),0.0180729215005311,0.6590865092971*X1*X2**3/X3**2 + 0.990103914418605*X1*X2 + 0.01
rho_c_0*v/sqrt(1-v**2/c**2),0.018621564927593,0.659754988377148*X1*X2**3/X3**2 + 0.991231104*X1*X2 + 0.01
rho_c_0*v/sqrt(1-v**2/c**2),0.0214497084140835,(-0.870157477728*X1*X2*X3 + (0.464*X2 - 0.992*X3)*(0.0119646*X1*X3 - 0.002))/(0.464*X2 - 0.992*X3)
rho_c_0*v/sqrt(1-v**2/c**2),0.0226620249938612,0.989609588*X1*X2*sin(0.846579129232896*X2/X3)**2 + 0.987191975*X1*X2 + 0.012
-mom*B*cos(theta),0.0002542388374834,-1.00584316*X1*X2*cos(1.0*X3)
-mom*B*cos(theta),0.0003719530715252,-0.976956786000001*X1*X2*cos(1.0*X3)
-mom*B*cos(theta),0.0003903019166629,X1*(-1.0246855*X2 + 1.431125*sin(0.017*X2))*cos(1.0*X3)
-mom*B*cos(theta),0.0003970787430301,-0.979231224710059*X1*X2*cos(1.0*X3)
-mom*B*cos(theta),0.0008852362524031,-0.861000825000096*X1*X2*cos(1.0*X3)
-p_d*Ef*cos(theta),7.753467687372862e-05,-X1*X2*(0.534781208*cos(0.998*X3) + 0.4644081*cos(1.003*X3))
-p_d*Ef*cos(theta),0.0005211771183625,-297.654489999996*X1*sin(0.003*X2)*cos(1.0*X3)
-p_d*Ef*cos(theta),0.0005688794697753,-1.0008444*X1*X2*cos(1.0*X3)
-p_d*Ef*cos(theta),0.0008089694001569,X1*(-0.989398800000001*X2 - 1.648998e-5*X3**2)*cos(1.0*X3)
-p_d*Ef*cos(theta),0.0010250084439279,-0.999262507*X1*X2*cos(0.006*X3)*cos(1.0*X3)
mu*Nn,3.174932453087495e-07,1.00019962*X1*X2
mu*Nn,3.174932453087495e-07,1.001171752*X1*X2
mu*Nn,3.174932453087495e-07,0.99924552*X1*X2
mu*Nn,3.174932453087495e-07,0.999361602*X1*X2
mu*Nn,3.174932453087495e-07,1.002547264*X1*X2
q/(4*pi*epsilon*r*(1-v/c)),1.4987003960856874e-09,-0.079539497807813*X1*X5/(X2*X3*(X4 - X5))
q/(4*pi*epsilon*r*(1-v/c)),0.0004809714810923,X1*(0.00600264572582875*X4 - 0.0351227016867967*X5)/(X2*X3*(0.457*X4 - 0.434*X5))
q/(4*pi*epsilon*r*(1-v/c)),0.0020284636850321,0.00417359745954937*X1/(X2*sin(0.082*X3)*cos(exp(exp(-0.796561604584527*X5/X4))))
q/(4*pi*epsilon*r*(1-v/c)),0.0024909176656563,0.0716733956625289*X1*exp(-0.016*X3 + 1.77044025157233*X4/X5)/(X2*X3)
q/(4*pi*epsilon*r*(1-v/c)),0.0031490206834342,0.523030500251457*X1/(X2*X3*(0.646*X5 + sin(1.591*X4) - cos(0.646*X5)))
sqrt(omega**2/c**2-pi**2/d**2),0.0040481393043672,1.00375305623472*X1/X2 + 0.011 - 5.50533525852754*X2/(X1*X3**2)
sqrt(omega**2/c**2-pi**2/d**2),0.0040709850146118,1.00131868131868*X1/X2 + 0.0111452991452993 - 5.49105740023901*X2/(X1*X3**2)
sqrt(omega**2/c**2-pi**2/d**2),0.0052425015481437,1.00261682242991*X1/X2 - 0.745*exp(0.024*X3) + 0.785 - 7.81215277777778*X2*exp(-0.876*X3)/X1
sqrt(omega**2/c**2-pi**2/d**2),0.0054076393443316,0.991926267281106*X1/X2 + 0.0791244239631336 - 1.19653731343284*X2*exp(cos(0.693*X3))/X1
sqrt(omega**2/c**2-pi**2/d**2),0.006173362261261,1.00638172043011*X1/X2 - 2.618*exp(-0.268*X1 + 0.825*X2 - 0.978*X3) - 0.064 + 7.03763440860215*exp(-1.762*X1)/X2
epsilon*c*Ef**2,2.8121526576365364e-06,1.00130551039411*X1*X2*X3**2
epsilon*c*Ef**2,2.8121526576365364e-06,0.999144023125248*X1*X2*X3**2
epsilon*c*Ef**2,1.782005421260718e-05,1.00145423136*X1*X2*X3**2
epsilon*c*Ef**2,1.7907640158682604e-05,1.00355483599258*X1*X2*X3**2
epsilon*c*Ef**2,1.7907640158682604e-05,1.00715036023325*X1*X2*X3**2
epsilon*Ef**2,8.068267486480504e-07,1.0005704544*X1*X2**2
epsilon*Ef**2,8.068267486480504e-07,0.999773091636*X1*X2**2
epsilon*Ef**2,8.068267486480504e-07,1.00016942256*X1*X2**2
epsilon*Ef**2,8.068267486480504e-07,0.999660734226*X1*X2**2
epsilon*Ef**2,8.068267486480504e-07,0.99867897162*X1*X2**2
q*v/(2*pi*r),1.5211753221424446e-08,0.159045967318757*X1*X2/X3
q*v/(2*pi*r),1.5211753221424446e-08,0.159113731477999*X1*X2/X3
q*v/(2*pi*r),1.5211753221424446e-08,0.159422984745763*X1*X2/X3
q*v/(2*pi*r),1.5211753221424446e-08,0.162870860077022*X1*X2/X3
q*v/(2*pi*r),1.5211753221424446e-08,0.158827958697379*X1*X2/X3
q*v*r/2,2.739571347486793e-07,0.49924960176*X1*X2*X3
q*v*r/2,2.739571347486793e-07,0.50091505464*X1*X2*X3
q*v*r/2,2.739571347486793e-07,0.49896748592*X1*X2*X3
q*v*r/2,2.739571347486793e-07,0.50086506912*X1*X2*X3
q*v*r/2,2.739571347486793e-07,0.499697178624*X1*X2*X3
g_*q*B/(2*m),1.408048105586967e-07,0.499235735552386*X1*X2*X3/X4
g_*q*B/(2*m),1.408048105586967e-07,0.516080069521276*X1*X2*X3/X4
g_*q*B/(2*m),1.408048105586967e-07,0.500311232000367*X1*X2*X3/X4
g_*q*B/(2*m),1.408048105586967e-07,0.500204644863336*X1*X2*X3/X4
g_*q*B/(2*m),1.408048105586967e-07,0.499094776421053*X1*X2*X3/X4
q*h/(4*pi*m),9.770673465747771e-09,0.0750853056277056*X1*X2/X3
q*h/(4*pi*m),9.770673465747771e-09,0.0795408*X1*X2/X3
q*h/(4*pi*m),9.770673465747771e-09,0.0787727717923604*X1*X2/X3
q*h/(4*pi*m),9.770673465747771e-09,0.06683662*X1*X2/X3
q*h/(4*pi*m),9.770673465747771e-09,0.0796912341504649*X1*X2/X3
g_*mom*B*Jz/(h/(2*pi)),1.7583782943922827e-05,6.29601898739341*X1*X3*X4*X5/X2
g_*mom*B*Jz/(h/(2*pi)),2.533442343217753e-05,6.28699998815599*X1*X3*X4*X5/X2
g_*mom*B*Jz/(h/(2*pi)),2.533442343217753e-05,6.28733482354846*X1*X3*X4*X5/X2
g_*mom*B*Jz/(h/(2*pi)),2.957030409502516e-05,6.28591077781333*X1*X3*X4*X5/X2
g_*mom*B*Jz/(h/(2*pi)),2.9580380835976092e-05,6.27229953330411*X1*X3*X4*X5/X2
n_0/(exp(mom*B/(kb*T))+exp(-mom*B/(kb*T))),0.0688001193955088,0.11703356*X1*X2 + 0.1242012*X1*X3 - 0.0464967034*X1*X4*X5 + 0.023
n_0/(exp(mom*B/(kb*T))+exp(-mom*B/(kb*T))),0.0807376054155339,-0.047274500559*X1*X4*X5 + 0.512694*X1 + 0.211275*X2 + 0.939*sin(0.275*X3) - 0.945
n_0/(exp(mom*B/(kb*T))+exp(-mom*B/(kb*T))),0.0824134193402237,(-0.0352302197802198*X1 + X3*(-0.179091*X4 + 0.737*exp(0.269*X1) + 0.737*sin(0.463*X2) - 0.484) - 0.319096703296703*X5)/X3
n_0/(exp(mom*B/(kb*T))+exp(-mom*B/(kb*T))),0.0843072634946621,0.094121742*X1*X2 + 0.107886064*X1*X3 - 0.069212*X1 - 0.202202*X4 - 0.205491*X5 + 0.763
n_0/(exp(mom*B/(kb*T))+exp(-mom*B/(kb*T))),0.0851631362300358,0.083675592*X1*X2 + 0.095749992*X1*X3 - 0.202272*X4 - 0.201584*X5 + 0.707
q1*q2*r/(4*pi*epsilon*r**3),4.746975772290598e-09,0.0796495375365485*X1*X2/(X3*X4**2)
q1*q2*r/(4*pi*epsilon*r**3),4.746975772290598e-09,0.0788185689768418*X1*X2/(X3*X4**2)
q1*q2*r/(4*pi*epsilon*r**3),4.746975772290598e-09,0.0792408069451215*X1*X2/(X3*X4**2)
